Store_id;SKU_id;Date;Promo;Demand;Regular_Price;Promo_Price
1;1;01.01.2015;;22.0;163.78;
1;1;02.01.2015;;41.0;163.78;
1;1;03.01.2015;;35.0;163.78;
1;1;04.01.2015;;72.0;163.78;
1;1;05.01.2015;;25.0;163.78;
1;1;06.01.2015;;38.0;163.78;
1;1;07.01.2015;;31.0;163.78;
1;1;08.01.2015;;35.0;163.78;
1;1;09.01.2015;;44.0;163.78;
1;1;10.01.2015;;38.0;163.78;
1;1;11.01.2015;;60.0;163.78;
1;1;12.01.2015;;82.0;163.78;
1;1;13.01.2015;;50.0;163.78;
1;1;14.01.2015;;50.0;168.4;
1;1;15.01.2015;;82.0;168.4;
1;1;16.01.2015;;72.0;168.4;
1;1;17.01.2015;;69.0;168.4;
1;1;18.01.2015;;47.0;168.4;
1;1;19.01.2015;;129.0;168.4;
1;1;20.01.2015;;97.0;168.4;
1;1;21.01.2015;;75.0;168.4;
1;1;22.01.2015;;104.0;168.4;
1;1;23.01.2015;;31.0;160.24;
1;1;24.01.2015;;82.0;160.24;
1;1;25.01.2015;;63.0;160.24;
1;1;26.01.2015;;138.0;160.24;
1;1;27.01.2015;;79.0;160.24;
1;1;28.01.2015;;157.0;146.92;
1;1;29.01.2015;;195.0;146.92;
1;1;30.01.2015;;173.0;146.92;
1;1;31.01.2015;;151.0;146.92;
1;1;01.02.2015;;160.0;146.92;
1;1;02.02.2015;;167.0;146.92;
1;1;03.02.2015;;107.0;146.92;
1;1;04.02.2015;;138.0;146.92;
1;1;05.02.2015;;138.0;146.92;
1;1;06.02.2015;;176.0;146.92;
1;1;07.02.2015;;160.0;146.92;
1;1;08.02.2015;;185.0;146.92;
1;1;09.02.2015;;167.0;146.92;
1;1;10.02.2015;;292.0;146.92;
1;1;11.02.2015;;201.0;146.92;
1;1;12.02.2015;;192.0;146.92;
1;1;13.02.2015;;210.0;149.37;
1;1;14.02.2015;;207.0;149.37;
1;1;15.02.2015;;236.0;149.37;
1;1;16.02.2015;;141.0;149.37;
1;1;17.02.2015;1.0;371.0;149.37;143.8
1;1;18.02.2015;1.0;509.0;149.37;135.64
1;1;19.02.2015;1.0;851.0;149.37;135.64
1;1;20.02.2015;1.0;914.0;149.37;135.64
1;1;21.02.2015;1.0;606.0;149.37;135.64
1;1;22.02.2015;1.0;829.0;149.37;135.64
1;1;23.02.2015;1.0;553.0;149.37;135.64
1;1;24.02.2015;;192.0;149.37;
1;1;25.02.2015;;116.0;149.37;
1;1;26.02.2015;;91.0;149.37;
1;1;27.02.2015;;248.0;143.93;
1;1;28.02.2015;;317.0;143.93;
1;1;01.03.2015;;528.0;143.93;
1;1;02.03.2015;;371.0;143.93;
1;1;03.03.2015;1.0;386.0;143.93;138.36
1;1;04.03.2015;1.0;286.0;143.93;135.64
1;1;05.03.2015;1.0;361.0;138.5;135.64
1;1;06.03.2015;1.0;644.0;138.5;135.64
1;1;07.03.2015;1.0;308.0;138.5;135.64
1;1;08.03.2015;1.0;201.0;138.5;135.64
1;1;09.03.2015;;138.0;140.67;
1;1;10.03.2015;;198.0;140.67;
1;1;11.03.2015;;201.0;140.67;
1;1;12.03.2015;;264.0;140.67;
1;1;13.03.2015;;223.0;140.67;
1;1;14.03.2015;;188.0;140.67;
1;1;15.03.2015;;229.0;140.67;
1;1;16.03.2015;;145.0;140.67;
1;1;17.03.2015;1.0;961.0;140.67;127.49
1;1;18.03.2015;1.0;996.0;140.67;127.49
1;1;19.03.2015;1.0;986.0;140.67;127.49
1;1;20.03.2015;1.0;587.0;140.67;127.49
1;1;21.03.2015;1.0;289.0;140.67;127.49
1;1;22.03.2015;1.0;72.0;140.67;127.49
